Date and Time (UTC),Receiver,Description,Data,Units
11/30/2019 22:00,VR2Tx-482000,Average temperature,0.3,°C
11/30/2019 23:00,VR2Tx-482000,Tilt angle,20,°
11/30/2019 23:00,VR2Tx-482000,Rotation angle,328,°
11/30/2019 23:00,VR2Tx-482000,Minimum noise,130,mV
11/30/2019 23:00,VR2Tx-482000,Maximum noise,150,mV
11/30/2019 23:00,VR2Tx-482000,Average noise,140,mV
11/30/2019 23:00,VR2Tx-482000,Minimum temperature,0.2,°C
11/30/2019 23:00,VR2Tx-482000,Maximum temperature,0.2,°C
11/30/2019 23:00,VR2Tx-482000,Average temperature,0.2,°C
12/01/2019 0:00,VR2Tx-482000,Memory Capacity,0.4,%
12/01/2019 0:00,VR2Tx-482000,Pings on 69 kHz,5682,
12/01/2019 0:00,VR2Tx-482000,Syncs on 69 kHz,1421,
12/01/2019 0:00,VR2Tx-482000,Rejects on 69 kHz,55,
12/01/2019 0:00,VR2Tx-482000,Detections on A69-1602,12,
12/01/2019 0:00,VR2Tx-482000,Detections on A69-1604,1,
12/01/2019 0:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 0:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 0:00,VR2Tx-482000,Minimum voltage,3.46,V
12/01/2019 0:00,VR2Tx-482000,Minimum noise,140,mV
12/01/2019 0:00,VR2Tx-482000,Maximum voltage,3.48,V
12/01/2019 0:00,VR2Tx-482000,Maximum noise,180,mV
12/01/2019 0:00,VR2Tx-482000,Average voltage,3.47,V
12/01/2019 0:00,VR2Tx-482000,Average noise,160,mV
12/01/2019 0:00,VR2Tx-482000,Minimum temperature,0.2,°C
12/01/2019 0:00,VR2Tx-482000,Maximum temperature,0.2,°C
12/01/2019 0:00,VR2Tx-482000,Average temperature,0.2,°C
12/01/2019 1:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 1:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 1:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 1:00,VR2Tx-482000,Maximum noise,190,mV
12/01/2019 1:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 1:00,VR2Tx-482000,Minimum temperature,0.2,°C
12/01/2019 1:00,VR2Tx-482000,Maximum temperature,0.2,°C
12/01/2019 1:00,VR2Tx-482000,Average temperature,0.2,°C
12/01/2019 2:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 2:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 2:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 2:00,VR2Tx-482000,Maximum noise,520,mV
12/01/2019 2:00,VR2Tx-482000,Average noise,340,mV
12/01/2019 2:00,VR2Tx-482000,Minimum temperature,0.1,°C
12/01/2019 2:00,VR2Tx-482000,Maximum temperature,0.2,°C
12/01/2019 2:00,VR2Tx-482000,Average temperature,0.2,°C
12/01/2019 3:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 3:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 3:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 3:00,VR2Tx-482000,Maximum noise,680,mV
12/01/2019 3:00,VR2Tx-482000,Average noise,270,mV
12/01/2019 3:00,VR2Tx-482000,Minimum temperature,0.1,°C
12/01/2019 3:00,VR2Tx-482000,Maximum temperature,0.2,°C
12/01/2019 3:00,VR2Tx-482000,Average temperature,0.1,°C
12/01/2019 4:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 4:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 4:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 4:00,VR2Tx-482000,Maximum noise,520,mV
12/01/2019 4:00,VR2Tx-482000,Average noise,220,mV
12/01/2019 4:00,VR2Tx-482000,Minimum temperature,0,°C
12/01/2019 4:00,VR2Tx-482000,Maximum temperature,0.1,°C
12/01/2019 4:00,VR2Tx-482000,Average temperature,0,°C
12/01/2019 5:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 5:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 5:00,VR2Tx-482000,Minimum noise,120,mV
12/01/2019 5:00,VR2Tx-482000,Maximum noise,180,mV
12/01/2019 5:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 5:00,VR2Tx-482000,Minimum temperature,0,°C
12/01/2019 5:00,VR2Tx-482000,Maximum temperature,0,°C
12/01/2019 5:00,VR2Tx-482000,Average temperature,0,°C
12/01/2019 6:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 6:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 6:00,VR2Tx-482000,Minimum noise,140,mV
12/01/2019 6:00,VR2Tx-482000,Maximum noise,210,mV
12/01/2019 6:00,VR2Tx-482000,Average noise,180,mV
12/01/2019 6:00,VR2Tx-482000,Minimum temperature,0,°C
12/01/2019 6:00,VR2Tx-482000,Maximum temperature,0,°C
12/01/2019 6:00,VR2Tx-482000,Average temperature,0,°C
12/01/2019 7:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 7:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 7:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 7:00,VR2Tx-482000,Maximum noise,160,mV
12/01/2019 7:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 7:00,VR2Tx-482000,Minimum temperature,-0.1,°C
12/01/2019 7:00,VR2Tx-482000,Maximum temperature,0,°C
12/01/2019 7:00,VR2Tx-482000,Average temperature,-0.1,°C
12/01/2019 8:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 8:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 8:00,VR2Tx-482000,Minimum noise,120,mV
12/01/2019 8:00,VR2Tx-482000,Maximum noise,160,mV
12/01/2019 8:00,VR2Tx-482000,Average noise,140,mV
12/01/2019 8:00,VR2Tx-482000,Minimum temperature,-0.2,°C
12/01/2019 8:00,VR2Tx-482000,Maximum temperature,-0.1,°C
12/01/2019 8:00,VR2Tx-482000,Average temperature,-0.2,°C
12/01/2019 9:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 9:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 9:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 9:00,VR2Tx-482000,Maximum noise,200,mV
12/01/2019 9:00,VR2Tx-482000,Average noise,160,mV
12/01/2019 9:00,VR2Tx-482000,Minimum temperature,-0.3,°C
12/01/2019 9:00,VR2Tx-482000,Maximum temperature,-0.2,°C
12/01/2019 9:00,VR2Tx-482000,Average temperature,-0.2,°C
12/01/2019 10:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 10:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 10:00,VR2Tx-482000,Minimum noise,120,mV
12/01/2019 10:00,VR2Tx-482000,Maximum noise,160,mV
12/01/2019 10:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 10:00,VR2Tx-482000,Minimum temperature,-0.3,°C
12/01/2019 10:00,VR2Tx-482000,Maximum temperature,-0.3,°C
12/01/2019 10:00,VR2Tx-482000,Average temperature,-0.3,°C
12/01/2019 11:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 11:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 11:00,VR2Tx-482000,Minimum noise,150,mV
12/01/2019 11:00,VR2Tx-482000,Maximum noise,180,mV
12/01/2019 11:00,VR2Tx-482000,Average noise,160,mV
12/01/2019 11:00,VR2Tx-482000,Minimum temperature,-0.4,°C
12/01/2019 11:00,VR2Tx-482000,Maximum temperature,-0.3,°C
12/01/2019 11:00,VR2Tx-482000,Average temperature,-0.3,°C
12/01/2019 12:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 12:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 12:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 12:00,VR2Tx-482000,Maximum noise,220,mV
12/01/2019 12:00,VR2Tx-482000,Average noise,170,mV
12/01/2019 12:00,VR2Tx-482000,Minimum temperature,-0.4,°C
12/01/2019 12:00,VR2Tx-482000,Maximum temperature,-0.4,°C
12/01/2019 12:00,VR2Tx-482000,Average temperature,-0.4,°C
12/01/2019 13:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 13:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 13:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 13:00,VR2Tx-482000,Maximum noise,150,mV
12/01/2019 13:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 13:00,VR2Tx-482000,Minimum temperature,-0.5,°C
12/01/2019 13:00,VR2Tx-482000,Maximum temperature,-0.5,°C
12/01/2019 13:00,VR2Tx-482000,Average temperature,-0.5,°C
12/01/2019 14:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 14:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 14:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 14:00,VR2Tx-482000,Maximum noise,160,mV
12/01/2019 14:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 14:00,VR2Tx-482000,Minimum temperature,-0.6,°C
12/01/2019 14:00,VR2Tx-482000,Maximum temperature,-0.5,°C
12/01/2019 14:00,VR2Tx-482000,Average temperature,-0.6,°C
12/01/2019 15:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 15:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 15:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 15:00,VR2Tx-482000,Maximum noise,150,mV
12/01/2019 15:00,VR2Tx-482000,Average noise,140,mV
12/01/2019 15:00,VR2Tx-482000,Minimum temperature,-0.6,°C
12/01/2019 15:00,VR2Tx-482000,Maximum temperature,-0.6,°C
12/01/2019 15:00,VR2Tx-482000,Average temperature,-0.6,°C
12/01/2019 16:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 16:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 16:00,VR2Tx-482000,Minimum noise,120,mV
12/01/2019 16:00,VR2Tx-482000,Maximum noise,150,mV
12/01/2019 16:00,VR2Tx-482000,Average noise,140,mV
12/01/2019 16:00,VR2Tx-482000,Minimum temperature,-0.7,°C
12/01/2019 16:00,VR2Tx-482000,Maximum temperature,-0.6,°C
12/01/2019 16:00,VR2Tx-482000,Average temperature,-0.7,°C
12/01/2019 17:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 17:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 17:00,VR2Tx-482000,Minimum noise,140,mV
12/01/2019 17:00,VR2Tx-482000,Maximum noise,200,mV
12/01/2019 17:00,VR2Tx-482000,Average noise,160,mV
12/01/2019 17:00,VR2Tx-482000,Minimum temperature,-0.7,°C
12/01/2019 17:00,VR2Tx-482000,Maximum temperature,-0.7,°C
12/01/2019 17:00,VR2Tx-482000,Average temperature,-0.7,°C
12/01/2019 18:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 18:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 18:00,VR2Tx-482000,Minimum noise,160,mV
12/01/2019 18:00,VR2Tx-482000,Maximum noise,210,mV
12/01/2019 18:00,VR2Tx-482000,Average noise,180,mV
12/01/2019 18:00,VR2Tx-482000,Minimum temperature,-0.8,°C
12/01/2019 18:00,VR2Tx-482000,Maximum temperature,-0.7,°C
12/01/2019 18:00,VR2Tx-482000,Average temperature,-0.8,°C
12/01/2019 19:00,VR2Tx-482000,Tilt angle,20,°
12/01/2019 19:00,VR2Tx-482000,Rotation angle,328,°
12/01/2019 19:00,VR2Tx-482000,Minimum noise,150,mV
12/01/2019 19:00,VR2Tx-482000,Maximum noise,210,mV
12/01/2019 19:00,VR2Tx-482000,Average noise,170,mV
12/01/2019 19:00,VR2Tx-482000,Minimum temperature,-0.9,°C
12/01/2019 19:00,VR2Tx-482000,Maximum temperature,-0.8,°C
12/01/2019 19:00,VR2Tx-482000,Average temperature,-0.8,°C
12/01/2019 20:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 20:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 20:00,VR2Tx-482000,Minimum noise,150,mV
12/01/2019 20:00,VR2Tx-482000,Maximum noise,190,mV
12/01/2019 20:00,VR2Tx-482000,Average noise,160,mV
12/01/2019 20:00,VR2Tx-482000,Minimum temperature,-1.0,°C
12/01/2019 20:00,VR2Tx-482000,Maximum temperature,-0.9,°C
12/01/2019 20:00,VR2Tx-482000,Average temperature,-0.9,°C
12/01/2019 21:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 21:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 21:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 21:00,VR2Tx-482000,Maximum noise,170,mV
12/01/2019 21:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 21:00,VR2Tx-482000,Minimum temperature,-1.0,°C
12/01/2019 21:00,VR2Tx-482000,Maximum temperature,-1.0,°C
12/01/2019 21:00,VR2Tx-482000,Average temperature,-1.0,°C
12/01/2019 22:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 22:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 22:00,VR2Tx-482000,Minimum noise,100,mV
12/01/2019 22:00,VR2Tx-482000,Maximum noise,170,mV
12/01/2019 22:00,VR2Tx-482000,Average noise,140,mV
12/01/2019 22:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/01/2019 22:00,VR2Tx-482000,Maximum temperature,-1.0,°C
12/01/2019 22:00,VR2Tx-482000,Average temperature,-1.0,°C
12/01/2019 23:00,VR2Tx-482000,Tilt angle,21,°
12/01/2019 23:00,VR2Tx-482000,Rotation angle,329,°
12/01/2019 23:00,VR2Tx-482000,Minimum noise,130,mV
12/01/2019 23:00,VR2Tx-482000,Maximum noise,170,mV
12/01/2019 23:00,VR2Tx-482000,Average noise,150,mV
12/01/2019 23:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/01/2019 23:00,VR2Tx-482000,Maximum temperature,-1.0,°C
12/01/2019 23:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 0:00,VR2Tx-482000,Memory Capacity,0.4,%
12/02/2019 0:00,VR2Tx-482000,Pings on 69 kHz,428,
12/02/2019 0:00,VR2Tx-482000,Syncs on 69 kHz,104,
12/02/2019 0:00,VR2Tx-482000,Rejects on 69 kHz,6,
12/02/2019 0:00,VR2Tx-482000,Tilt angle,20,°
12/02/2019 0:00,VR2Tx-482000,Rotation angle,328,°
12/02/2019 0:00,VR2Tx-482000,Minimum voltage,3.46,V
12/02/2019 0:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 0:00,VR2Tx-482000,Maximum voltage,3.47,V
12/02/2019 0:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 0:00,VR2Tx-482000,Average voltage,3.47,V
12/02/2019 0:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 0:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 0:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 0:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 1:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 1:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 1:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 1:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 1:00,VR2Tx-482000,Average noise,140,mV
12/02/2019 1:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 1:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 1:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 2:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 2:00,VR2Tx-482000,Rotation angle,330,°
12/02/2019 2:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 2:00,VR2Tx-482000,Maximum noise,180,mV
12/02/2019 2:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 2:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 2:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 2:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 3:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 3:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 3:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 3:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 3:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 3:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 3:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 3:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 4:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 4:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 4:00,VR2Tx-482000,Minimum noise,150,mV
12/02/2019 4:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 4:00,VR2Tx-482000,Average noise,160,mV
12/02/2019 4:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 4:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 4:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 5:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 5:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 5:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 5:00,VR2Tx-482000,Maximum noise,180,mV
12/02/2019 5:00,VR2Tx-482000,Average noise,160,mV
12/02/2019 5:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 5:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 5:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 6:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 6:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 6:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 6:00,VR2Tx-482000,Maximum noise,190,mV
12/02/2019 6:00,VR2Tx-482000,Average noise,160,mV
12/02/2019 6:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 6:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 6:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 7:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 7:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 7:00,VR2Tx-482000,Minimum noise,150,mV
12/02/2019 7:00,VR2Tx-482000,Maximum noise,220,mV
12/02/2019 7:00,VR2Tx-482000,Average noise,180,mV
12/02/2019 7:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 7:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 7:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 8:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 8:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 8:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 8:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 8:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 8:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 8:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 8:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 9:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 9:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 9:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 9:00,VR2Tx-482000,Maximum noise,190,mV
12/02/2019 9:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 9:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 9:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 9:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 10:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 10:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 10:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 10:00,VR2Tx-482000,Maximum noise,210,mV
12/02/2019 10:00,VR2Tx-482000,Average noise,170,mV
12/02/2019 10:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 10:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 10:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 11:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 11:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 11:00,VR2Tx-482000,Minimum noise,150,mV
12/02/2019 11:00,VR2Tx-482000,Maximum noise,370,mV
12/02/2019 11:00,VR2Tx-482000,Average noise,220,mV
12/02/2019 11:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 11:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 11:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 12:00,VR2Tx-482000,Tilt angle,20,°
12/02/2019 12:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 12:00,VR2Tx-482000,Minimum noise,140,mV
12/02/2019 12:00,VR2Tx-482000,Maximum noise,190,mV
12/02/2019 12:00,VR2Tx-482000,Average noise,160,mV
12/02/2019 12:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 12:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 12:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 13:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 13:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 13:00,VR2Tx-482000,Minimum noise,110,mV
12/02/2019 13:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 13:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 13:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 13:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 13:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 14:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 14:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 14:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 14:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 14:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 14:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 14:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 14:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 15:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 15:00,VR2Tx-482000,Rotation angle,328,°
12/02/2019 15:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 15:00,VR2Tx-482000,Maximum noise,150,mV
12/02/2019 15:00,VR2Tx-482000,Average noise,140,mV
12/02/2019 15:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 15:00,VR2Tx-482000,Maximum temperature,-1.3,°C
12/02/2019 15:00,VR2Tx-482000,Average temperature,-1.3,°C
12/02/2019 16:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 16:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 16:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 16:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 16:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 16:00,VR2Tx-482000,Minimum temperature,-1.3,°C
12/02/2019 16:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 16:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 17:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 17:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 17:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 17:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 17:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 17:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 17:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 17:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 18:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 18:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 18:00,VR2Tx-482000,Minimum noise,100,mV
12/02/2019 18:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 18:00,VR2Tx-482000,Average noise,130,mV
12/02/2019 18:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 18:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 18:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 19:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 19:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 19:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 19:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 19:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 19:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 19:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 19:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 20:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 20:00,VR2Tx-482000,Rotation angle,330,°
12/02/2019 20:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 20:00,VR2Tx-482000,Maximum noise,160,mV
12/02/2019 20:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 20:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 20:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 20:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 21:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 21:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 21:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 21:00,VR2Tx-482000,Maximum noise,150,mV
12/02/2019 21:00,VR2Tx-482000,Average noise,140,mV
12/02/2019 21:00,VR2Tx-482000,Minimum temperature,-1.1,°C
12/02/2019 21:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 21:00,VR2Tx-482000,Average temperature,-1.1,°C
12/02/2019 22:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 22:00,VR2Tx-482000,Rotation angle,329,°
12/02/2019 22:00,VR2Tx-482000,Minimum noise,120,mV
12/02/2019 22:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 22:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 22:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 22:00,VR2Tx-482000,Maximum temperature,-1.1,°C
12/02/2019 22:00,VR2Tx-482000,Average temperature,-1.2,°C
12/02/2019 23:00,VR2Tx-482000,Tilt angle,21,°
12/02/2019 23:00,VR2Tx-482000,Rotation angle,330,°
12/02/2019 23:00,VR2Tx-482000,Minimum noise,130,mV
12/02/2019 23:00,VR2Tx-482000,Maximum noise,170,mV
12/02/2019 23:00,VR2Tx-482000,Average noise,150,mV
12/02/2019 23:00,VR2Tx-482000,Minimum temperature,-1.2,°C
12/02/2019 23:00,VR2Tx-482000,Maximum temperature,-1.2,°C
12/02/2019 23:00,VR2Tx-482000,Average temperature,-1.2,°C
12/03/2019 0:00,VR2Tx-482000,Memory Capacity,0.4,%
12/03/2019 0:00,VR2Tx-482000,Pings on 69 kHz,70,
12/03/2019 0:00,VR2Tx-482000,Syncs on 69 kHz,3,
12/03/2019 0:00,VR2Tx-482000,Rejects on 69 kHz,0,
12/03/2019 0:00,VR2Tx-482000,Tilt angle,21,°
